,Player,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age at First Season,Age at Last Season,Num Season(s),MVP(s)
1333,Pape Sy,SF,ATL,3.0,0.0,7.0,0.7,2.0,33.3,0.0,0.3,0.0,0.7,1.7,40.0,33.3,1.0,1.0,100.0,0.7,0.3,1.0,0.7,0.3,0.0,1.0,0.3,2.3,22,22,1,0
1334,Evan Turner,SF,['PHI' 'TOT' 'IND' 'BOS' 'POR' 'ATL'],65.5,29.2,26.1,3.9,9.0,42.9,0.4,1.3,27.7,3.5,7.7,45.2,44.9,1.5,2.0,78.3,0.6,3.9,4.5,3.3,0.7,0.2,1.8,2.0,9.6,22,31,10,0
1335,Ekpe Udoh,C,['GSW' 'TOT' 'MIL' 'LAC' 'UTA'],49.4,7.4,15.6,1.5,3.2,46.7,0.0,0.0,0.0,1.5,3.2,46.9,46.7,0.9,1.3,72.0,1.2,1.8,3.1,0.7,0.5,1.2,0.6,2.0,3.8,23,31,7,0
1336,Ben Uzoh,PG,['NJN' 'TOT' 'CLE' 'TOR'],19.5,4.0,15.0,1.6,4.3,38.2,0.0,0.1,12.5,1.6,4.2,38.4,38.5,0.5,0.9,58.2,1.0,1.8,2.8,2.4,0.7,0.2,0.7,1.2,3.8,22,23,2,0
1337,Greivis Vásquez,PG,['MEM' 'NOH' 'TOT' 'SAC' 'TOR' 'MIL' 'BRK'],53.3,20.0,22.2,3.0,7.4,39.2,1.0,2.8,33.3,2.1,4.6,42.7,45.7,1.1,1.3,81.6,0.3,1.9,2.2,4.3,0.5,0.1,1.6,1.9,8.1,24,30,7,0
1338,John Wall,PG,['WAS' 'HOU'],61.3,60.1,35.3,6.9,16.1,42.9,1.0,3.3,29.5,5.9,12.8,45.7,46.1,4.3,5.5,77.1,0.6,3.6,4.1,8.9,1.6,0.8,3.8,2.1,19.2,20,30,10,0
1339,Willie Warren,PG,LAC,19.0,0.0,7.1,0.7,1.8,37.1,0.3,0.8,33.3,0.4,1.1,40.0,44.3,0.3,0.4,75.0,0.1,0.6,0.6,1.4,0.3,0.0,0.4,0.8,1.9,21,21,1,0
1340,Hassan Whiteside,C,['SAC' 'MIA' 'POR' 'UTA'],51.1,33.2,20.5,4.3,7.3,57.6,0.0,0.0,42.4,4.3,7.3,57.7,57.6,1.7,2.8,57.5,2.6,6.2,8.8,0.5,0.4,1.9,1.2,2.4,10.3,21,32,10,0
1341,Lavoy Allen,PF,['PHI' 'TOT' 'IND'],56.6,11.1,16.4,2.0,4.3,47.0,0.0,0.1,7.7,2.0,4.2,47.4,47.1,0.5,0.7,68.3,1.7,2.8,4.5,1.0,0.3,0.5,0.6,1.7,4.5,22,27,6,0
1342,Gustavo Ayón,C,['NOH' 'MIL' 'ATL'],30.7,12.7,16.7,2.2,4.1,54.7,0.0,0.0,0.0,2.2,4.1,54.8,54.7,0.4,1.0,36.7,1.6,3.3,4.9,1.2,0.9,0.5,0.9,2.0,4.8,26,28,3,0
